"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,378,"Area L","ahec",296296,12.76,0.1878,0.1111,0.1376
2001,400,"Area L","ahec",296584,13.49,0.1875,0.1175,0.15
2002,390,"Area L","ahec",298557,13.06,0.1897,0.1,0.1462
2003,401,"Area L","ahec",300530,13.34,0.2195,0.1022,0.1421
2004,406,"Area L","ahec",299402,13.56,0.2217,0.1059,0.1404
2005,418,"Area L","ahec",299977,13.93,0.2225,0.1053,0.1435
2006,408,"Area L","ahec",299459,13.62,0.2206,0.1005,0.1422
2007,404,"Area L","ahec",299285,13.5,0.2277,0.1114,0.1584
2008,407,"Area L","ahec",301094,13.52,0.2383,0.0934,0.1597
2009,406,"Area L","ahec",303354,13.38,0.2365,0.1059,0.1749
2010,418,"Area L","ahec",311268,13.43,0.2344,0.1196,0.1651
2011,416,"Area L","ahec",309832,13.43,0.2356,0.137,0.1587
2012,407,"Area L","ahec",309165,13.16,0.2506,0.1548,0.1695
2013,406,"Area L","ahec",306794,13.23,0.266,0.17,0.1872
2014,422,"Area L","ahec",305841,13.8,0.263,0.1754,0.2038
2015,425,"Area L","ahec",303922,13.98,0.2706,0.1765,0.2071
2016,422,"Area L","ahec",302629,13.94,0.2915,0.1919,0.2062
2017,426,"Area L","ahec",301780,14.12,0.3028,0.1901,0.2042
2000,2667,"Charlotte","ahec",1384001,19.27,0.213,0.0521,0.0881
2001,2729,"Charlotte","ahec",1419589,19.22,0.2166,0.0495,0.0938
2002,2832,"Charlotte","ahec",1452485,19.5,0.2232,0.0477,0.1006
2003,2912,"Charlotte","ahec",1485382,19.6,0.2263,0.0488,0.0996
2004,3001,"Charlotte","ahec",1510434,19.87,0.2286,0.0493,0.1023
2005,3133,"Charlotte","ahec",1539732,20.35,0.2407,0.0543,0.1047
2006,3321,"Charlotte","ahec",1605915,20.68,0.252,0.0551,0.1147
2007,3496,"Charlotte","ahec",1665257,20.99,0.2626,0.0592,0.1178
2008,3667,"Charlotte","ahec",1701378,21.55,0.2782,0.0584,0.123
2009,3776,"Charlotte","ahec",1732010,21.8,0.2858,0.0609,0.1292
2010,3846,"Charlotte","ahec",1776565,21.65,0.2881,0.066,0.13
2011,3963,"Charlotte","ahec",1799166,22.03,0.295,0.0719,0.1307
2012,4098,"Charlotte","ahec",1827256,22.43,0.2977,0.0756,0.131
2013,4238,"Charlotte","ahec",1863538,22.74,0.3079,0.0755,0.1312
2014,4379,"Charlotte","ahec",1896573,23.09,0.3186,0.0763,0.1322
2015,4456,"Charlotte","ahec",1930604,23.08,0.3238,0.0727,0.1355
2016,4614,"Charlotte","ahec",1961268,23.53,0.3364,0.0754,0.1391
2017,4772,"Charlotte","ahec",1999372,23.87,0.3497,0.0815,0.1362
2000,1575,"Eastern","ahec",913210,17.25,0.1829,0.0921,0.0838
2001,1610,"Eastern","ahec",914567,17.6,0.1925,0.0752,0.082
2002,1640,"Eastern","ahec",923021,17.77,0.2037,0.0695,0.0848
2003,1672,"Eastern","ahec",931473,17.95,0.2099,0.0676,0.0873
2004,1695,"Eastern","ahec",947271,17.89,0.2094,0.069,0.0885
2005,1727,"Eastern","ahec",957168,18.04,0.2241,0.073,0.0903
2006,1728,"Eastern","ahec",967485,17.86,0.2211,0.0816,0.092
2007,1739,"Eastern","ahec",1002600,17.34,0.2277,0.0909,0.096
2008,1748,"Eastern","ahec",995121,17.57,0.2346,0.0978,0.0961
2009,1768,"Eastern","ahec",1007683,17.55,0.2472,0.1069,0.0995
2010,1885,"Eastern","ahec",1035493,18.2,0.2626,0.1066,0.0976
2011,1923,"Eastern","ahec",1044211,18.42,0.2637,0.1118,0.0993
2012,1929,"Eastern","ahec",1055120,18.28,0.268,0.1255,0.0964
2013,1999,"Eastern","ahec",1059704,18.86,0.2756,0.1241,0.1076
2014,2042,"Eastern","ahec",1060701,19.25,0.2821,0.1308,0.1097
2015,2054,"Eastern","ahec",1062244,19.34,0.2863,0.1344,0.1183
2016,2065,"Eastern","ahec",1061127,19.46,0.2925,0.1361,0.1215
2017,2094,"Eastern","ahec",1064705,19.67,0.2966,0.1437,0.117
2000,2408,"Greensboro","ahec",992109,24.27,0.2508,0.0735,0.0714
2001,2485,"Greensboro","ahec",1004145,24.75,0.2547,0.0728,0.0797
2002,2548,"Greensboro","ahec",1022139,24.93,0.2673,0.0628,0.084
2003,2585,"Greensboro","ahec",1040135,24.85,0.2766,0.0638,0.0886
2004,2608,"Greensboro","ahec",1037038,25.15,0.2906,0.0625,0.0874
2005,2664,"Greensboro","ahec",1036988,25.69,0.2935,0.0721,0.0893
2006,2680,"Greensboro","ahec",1051795,25.48,0.2993,0.078,0.0884
2007,2748,"Greensboro","ahec",1072610,25.62,0.3068,0.0819,0.0921
2008,2851,"Greensboro","ahec",1088392,26.19,0.3188,0.0901,0.0982
2009,2838,"Greensboro","ahec",1105017,25.68,0.3214,0.0846,0.1032
2010,2933,"Greensboro","ahec",1127674,26.01,0.3297,0.09,0.1054
2011,3038,"Greensboro","ahec",1136068,26.74,0.3351,0.104,0.104
2012,3096,"Greensboro","ahec",1147212,26.99,0.343,0.1153,0.1092
2013,3252,"Greensboro","ahec",1154755,28.16,0.3613,0.103,0.1104
2014,3347,"Greensboro","ahec",1163764,28.76,0.369,0.1094,0.1111
2015,3410,"Greensboro","ahec",1173064,29.07,0.3804,0.1059,0.115
2016,3480,"Greensboro","ahec",1180482,29.48,0.3813,0.1092,0.1147
2017,3516,"Greensboro","ahec",1190264,29.54,0.3871,0.1132,0.1115
2000,1380,"Mountain","ahec",672306,20.53,0.1935,0.0746,0.029
2001,1416,"Mountain","ahec",681837,20.77,0.2175,0.0734,0.0325
2002,1430,"Mountain","ahec",692197,20.66,0.2217,0.0664,0.0343
2003,1495,"Mountain","ahec",702555,21.28,0.2328,0.0662,0.0415
2004,1488,"Mountain","ahec",703634,21.15,0.2305,0.0672,0.041
2005,1543,"Mountain","ahec",709033,21.76,0.2366,0.0758,0.0408
2006,1568,"Mountain","ahec",717342,21.86,0.2411,0.0797,0.0376
2007,1590,"Mountain","ahec",706233,22.51,0.2572,0.0855,0.039
2008,1609,"Mountain","ahec",732921,21.95,0.2648,0.0895,0.0392
2009,1633,"Mountain","ahec",739965,22.07,0.2694,0.098,0.038
2010,1666,"Mountain","ahec",761986,21.86,0.2719,0.1008,0.0366
2011,1683,"Mountain","ahec",770362,21.85,0.2763,0.1105,0.0362
2012,1715,"Mountain","ahec",769642,22.28,0.2822,0.1172,0.0385
2013,1785,"Mountain","ahec",776064,23,0.3008,0.1238,0.0431
2014,1846,"Mountain","ahec",781867,23.61,0.3088,0.1289,0.046
2015,1874,"Mountain","ahec",789383,23.74,0.317,0.1419,0.0528
2016,1971,"Mountain","ahec",799550,24.65,0.3186,0.1461,0.0523
2017,1988,"Mountain","ahec",807857,24.61,0.3204,0.1569,0.0503
2000,2603,"Northwest","ahec",1395832,18.65,0.1829,0.0757,0.0446
2001,2683,"Northwest","ahec",1416307,18.94,0.1946,0.0753,0.0447
2002,2731,"Northwest","ahec",1437391,19,0.2014,0.0758,0.0472
2003,2747,"Northwest","ahec",1458480,18.83,0.202,0.075,0.0506
2004,2775,"Northwest","ahec",1459487,19.01,0.2108,0.075,0.0483
2005,2843,"Northwest","ahec",1464768,19.41,0.2117,0.0837,0.0545
2006,2924,"Northwest","ahec",1484611,19.7,0.2165,0.0848,0.0592
2007,2999,"Northwest","ahec",1504826,19.93,0.2277,0.0884,0.065
2008,3088,"Northwest","ahec",1524295,20.26,0.2309,0.0861,0.069
2009,3129,"Northwest","ahec",1546737,20.23,0.2355,0.0904,0.0709
2010,3331,"Northwest","ahec",1558340,21.38,0.2489,0.0919,0.0754
2011,3433,"Northwest","ahec",1563589,21.96,0.2604,0.1022,0.0769
2012,3492,"Northwest","ahec",1566740,22.29,0.2706,0.1111,0.0805
2013,3558,"Northwest","ahec",1571258,22.64,0.2752,0.1093,0.0826
2014,3637,"Northwest","ahec",1579059,23.03,0.2807,0.1127,0.085
2015,3682,"Northwest","ahec",1586703,23.21,0.2898,0.1187,0.0858
2016,3736,"Northwest","ahec",1598199,23.38,0.2971,0.1204,0.0889
2017,3845,"Northwest","ahec",1610400,23.88,0.3053,0.1235,0.0874
2000,658,"South East","ahec",378344,17.39,0.1657,0.0805,0.0547
2001,689,"South East","ahec",387182,17.8,0.1713,0.0653,0.0537
2002,703,"South East","ahec",395768,17.76,0.1892,0.064,0.0569
2003,725,"South East","ahec",404351,17.93,0.2,0.0759,0.0566
2004,742,"South East","ahec",408125,18.18,0.1941,0.0768,0.0566
2005,774,"South East","ahec",418333,18.5,0.2016,0.0891,0.0581
2006,799,"South East","ahec",435180,18.36,0.2028,0.0839,0.0626
2007,809,"South East","ahec",447385,18.08,0.2064,0.1001,0.0593
2008,851,"South East","ahec",455190,18.7,0.2162,0.0964,0.067
2009,863,"South East","ahec",464312,18.59,0.2202,0.1043,0.0614
2010,874,"South East","ahec",481052,18.17,0.2231,0.1133,0.0698
2011,912,"South East","ahec",487484,18.71,0.2226,0.1195,0.0746
2012,919,"South East","ahec",494872,18.57,0.2329,0.1186,0.0686
2013,918,"South East","ahec",502936,18.25,0.2386,0.1198,0.073
2014,941,"South East","ahec",509080,18.48,0.2434,0.1265,0.0733
2015,973,"South East","ahec",518781,18.76,0.2549,0.1398,0.0678
2016,990,"South East","ahec",527596,18.76,0.2616,0.1455,0.0687
2017,1029,"South East","ahec",536440,19.18,0.2682,0.1565,0.068
2000,1049,"Southern Regional","ahec",800743,13.1,0.2002,0.0887,0.1764
2001,1069,"Southern Regional","ahec",805745,13.27,0.2011,0.0898,0.1712
2002,1045,"Southern Regional","ahec",819180,12.76,0.2029,0.0823,0.1789
2003,1069,"Southern Regional","ahec",832613,12.84,0.2086,0.0758,0.1871
2004,1079,"Southern Regional","ahec",836143,12.9,0.2196,0.0741,0.19
2005,1111,"Southern Regional","ahec",842634,13.18,0.2142,0.0846,0.1899
2006,1128,"Southern Regional","ahec",844402,13.36,0.2252,0.0798,0.1977
2007,1147,"Southern Regional","ahec",856935,13.38,0.2267,0.0854,0.1953
2008,1187,"Southern Regional","ahec",868197,13.67,0.2367,0.0842,0.2064
2009,1215,"Southern Regional","ahec",879444,13.82,0.2535,0.0774,0.2189
2010,1231,"Southern Regional","ahec",888443,13.86,0.2478,0.0829,0.2266
2011,1258,"Southern Regional","ahec",900751,13.97,0.2568,0.0922,0.2337
2012,1325,"Southern Regional","ahec",909169,14.57,0.2732,0.1049,0.2355
2013,1342,"Southern Regional","ahec",914274,14.68,0.2757,0.1103,0.228
2014,1423,"Southern Regional","ahec",913874,15.57,0.2867,0.1145,0.2249
2015,1425,"Southern Regional","ahec",915808,15.56,0.2954,0.1207,0.2246
2016,1434,"Southern Regional","ahec",918447,15.61,0.2971,0.1304,0.2099
2017,1412,"Southern Regional","ahec",921525,15.32,0.3031,0.1303,0.211
2000,3201,"Wake AHEC","ahec",1216472,26.31,0.278,0.0578,0.0815
2001,3306,"Wake AHEC","ahec",1261899,26.2,0.2834,0.0551,0.085
2002,3414,"Wake AHEC","ahec",1296091,26.34,0.2938,0.0545,0.0861
2003,3477,"Wake AHEC","ahec",1330283,26.14,0.3003,0.0532,0.0871
2004,3553,"Wake AHEC","ahec",1360676,26.11,0.3051,0.0552,0.0853
2005,3670,"Wake AHEC","ahec",1395041,26.31,0.3169,0.0599,0.0891
2006,3835,"Wake AHEC","ahec",1454152,26.37,0.3218,0.0608,0.0954
2007,3979,"Wake AHEC","ahec",1514267,26.28,0.3315,0.0586,0.0983
2008,4134,"Wake AHEC","ahec",1560428,26.49,0.3423,0.0631,0.1014
2009,4266,"Wake AHEC","ahec",1604088,26.59,0.3502,0.0628,0.0985
2010,4568,"Wake AHEC","ahec",1631633,28,0.359,0.0646,0.0972
2011,4714,"Wake AHEC","ahec",1657781,28.44,0.3651,0.0732,0.0976
2012,4807,"Wake AHEC","ahec",1686053,28.51,0.3703,0.0799,0.1013
2013,4916,"Wake AHEC","ahec",1712629,28.7,0.3729,0.0747,0.1007
2014,5026,"Wake AHEC","ahec",1742928,28.84,0.3804,0.0822,0.1043
2015,5025,"Wake AHEC","ahec",1776174,28.29,0.3853,0.0828,0.1033
2016,5157,"Wake AHEC","ahec",1806644,28.54,0.3929,0.0888,0.101
2017,5350,"Wake AHEC","ahec",1840349,29.07,0.3978,0.0968,0.1021
2000,175,"Alamance","county",130800,13.38,0.16,0.0514,0.0914
2001,175,"Alamance","county",133598,13.1,0.1657,0.0743,0.08
2002,179,"Alamance","county",136034,13.16,0.1788,0.0726,0.0894
2003,179,"Alamance","county",138471,12.93,0.1844,0.0615,0.1117
2004,183,"Alamance","county",138754,13.19,0.2131,0.0601,0.0984
2005,197,"Alamance","county",138788,14.19,0.2335,0.066,0.0914
2006,209,"Alamance","county",139786,14.95,0.2679,0.0622,0.1005
2007,212,"Alamance","county",143154,14.81,0.283,0.066,0.1321
2008,226,"Alamance","county",146025,15.48,0.3053,0.0929,0.1283
2009,241,"Alamance","county",148361,16.24,0.3237,0.0747,0.1328
2010,251,"Alamance","county",151745,16.54,0.3307,0.0837,0.1155
2011,262,"Alamance","county",152531,17.18,0.3435,0.1031,0.1069
2012,277,"Alamance","county",153029,18.1,0.361,0.1047,0.1191
2013,273,"Alamance","county",153595,17.77,0.3626,0.1026,0.1099
2014,276,"Alamance","county",155789,17.72,0.3732,0.1159,0.1304
2015,283,"Alamance","county",157522,17.97,0.3852,0.1201,0.1378
2016,282,"Alamance","county",159054,17.73,0.3688,0.1241,0.1348
2017,279,"Alamance","county",161076,17.32,0.3871,0.1362,0.1505
2000,13,"Alexander","county",33603,3.87,0.1538,0.0769,0.0769
2001,15,"Alexander","county",33961,4.42,0.1333,0.2,0.0667
2002,14,"Alexander","county",34626,4.04,0.1429,0.0714,0.0714
2003,12,"Alexander","county",35292,3.4,0.1667,0,0.0833
2004,13,"Alexander","county",35165,3.7,0.1538,0,0.0769
2005,17,"Alexander","county",35545,4.78,0.1176,0.0588,0.1176
2006,17,"Alexander","county",36296,4.68,0.1765,0.0588,0.1176
2007,14,"Alexander","county",36656,3.82,0.2143,0.0714,0.0714
2008,14,"Alexander","county",36957,3.79,0.2857,0,0.0714
2009,15,"Alexander","county",37318,4.02,0.2667,0,0.0667
2010,12,"Alexander","county",37254,3.22,0.25,0,0.0833
2011,15,"Alexander","county",37528,4,0.2667,0.0667,0.2
2012,16,"Alexander","county",37389,4.28,0.1875,0.125,0.125
2013,15,"Alexander","county",37436,4.01,0.2667,0.2,0.1333
2014,15,"Alexander","county",37832,3.96,0.3333,0.2,0.0667
2015,13,"Alexander","county",37952,3.43,0.3846,0.0769,0.0769
2016,13,"Alexander","county",38284,3.4,0.3846,0.0769,0.0769
2017,16,"Alexander","county",38452,4.16,0.3125,0.25,0.0625
2000,13,"Alleghany","county",10677,12.18,0.3077,0.2308,0
2001,14,"Alleghany","county",10754,13.02,0.4286,0.1429,0
2002,14,"Alleghany","county",10866,12.88,0.4286,0.2143,0
2003,13,"Alleghany","county",10978,11.84,0.4615,0.1538,0
2004,13,"Alleghany","county",10912,11.91,0.4615,0.2308,0
2005,16,"Alleghany","county",10913,14.66,0.375,0.1875,0
2006,12,"Alleghany","county",11000,10.91,0.5,0.1667,0
2007,13,"Alleghany","county",11088,11.72,0.4615,0.1538,0
2008,13,"Alleghany","county",11075,11.74,0.4615,0.0769,0
2009,12,"Alleghany","county",11227,10.69,0.5,0.0833,0.0833
2010,12,"Alleghany","county",11171,10.74,0.5,0.0833,0.0833
2011,11,"Alleghany","county",11069,9.94,0.4545,0.0909,0.0909
2012,13,"Alleghany","county",10971,11.85,0.4615,0.0769,0.0769
2013,9,"Alleghany","county",11052,8.14,0.4444,0.1111,0.1111
2014,11,"Alleghany","county",11099,9.91,0.4545,0.0909,0.0909
2015,9,"Alleghany","county",11190,8.04,0.5556,0,0.2222
2016,10,"Alleghany","county",11202,8.93,0.4,0,0.2
2017,10,"Alleghany","county",11233,8.9,0.4,0,0.2
2000,15,"Anson","county",25275,5.93,0.4,0.1333,0.2667
2001,19,"Anson","county",25323,7.5,0.3158,0.1053,0.3158
2002,20,"Anson","county",25496,7.84,0.3,0.2,0.35
2003,19,"Anson","county",25671,7.4,0.2632,0.2105,0.4737
2004,19,"Anson","county",25384,7.49,0.2632,0.2105,0.4737
2005,17,"Anson","county",25848,6.58,0.2941,0.1765,0.4706
2006,18,"Anson","county",25372,7.09,0.2222,0.2222,0.3889
2007,17,"Anson","county",25332,6.71,0.2941,0.2353,0.3529
2008,15,"Anson","county",25368,5.91,0.4667,0.2,0.4667
2009,17,"Anson","county",25193,6.75,0.3529,0.1765,0.4118
2010,16,"Anson","county",26973,5.93,0.375,0.25,0.5625
2011,22,"Anson","county",25822,8.52,0.3636,0.2727,0.4545
2012,20,"Anson","county",26626,7.51,0.3,0.4,0.4
2013,19,"Anson","county",26318,7.22,0.2632,0.3684,0.4211
2014,22,"Anson","county",26468,8.31,0.2273,0.3636,0.3182
2015,18,"Anson","county",26155,6.88,0.3889,0.2222,0.3889
2016,14,"Anson","county",25628,5.46,0.3571,0.2857,0.3571
2017,13,"Anson","county",25626,5.07,0.3077,0.1538,0.3846
2000,26,"Ashe","county",24384,10.66,0.1923,0.2308,0
2001,25,"Ashe","county",24799,10.08,0.24,0.24,0
2002,22,"Ashe","county",24970,8.81,0.1818,0.3182,0
2003,26,"Ashe","county",25142,10.34,0.1923,0.2692,0
2004,22,"Ashe","county",25320,8.69,0.2273,0.2273,0
2005,22,"Ashe","county",25279,8.7,0.2273,0.2273,0
2006,19,"Ashe","county",25778,7.37,0.3158,0.2105,0
2007,22,"Ashe","county",26003,8.46,0.2727,0.1818,0
2008,22,"Ashe","county",26325,8.36,0.3636,0.1364,0.0455
2009,24,"Ashe","county",26498,9.06,0.3333,0.2083,0.0417
2010,25,"Ashe","county",27378,9.13,0.36,0.24,0.04
2011,24,"Ashe","county",27423,8.75,0.3333,0.25,0.0417
2012,25,"Ashe","county",27361,9.14,0.32,0.2,0.08
2013,27,"Ashe","county",27434,9.84,0.2963,0.1852,0.1111
2014,28,"Ashe","county",27448,10.2,0.25,0.2143,0.1071
2015,29,"Ashe","county",27332,10.61,0.3103,0.3448,0.069
2016,29,"Ashe","county",27344,10.61,0.2759,0.2759,0.069
2017,29,"Ashe","county",27218,10.65,0.2069,0.2759,0.0345
2000,15,"Avery","county",17167,8.74,0.0667,0.1333,0.0667
2001,16,"Avery","county",17706,9.04,0.0625,0.1875,0.0625
2002,19,"Avery","county",17844,10.65,0.2105,0.1053,0.1053
2003,17,"Avery","county",17980,9.45,0.1765,0.0588,0.0588
2004,20,"Avery","county",18221,10.98,0.25,0.15,0.05
2005,20,"Avery","county",18195,10.99,0.25,0.3,0.05
2006,16,"Avery","county",18174,8.8,0.1875,0.1875,0.0625
2007,16,"Avery","county",18292,8.75,0.1875,0.0625,0
2008,13,"Avery","county",18429,7.05,0.0769,0.0769,0
2009,13,"Avery","county",18301,7.1,0.1538,0.0769,0
2010,14,"Avery","county",17812,7.86,0.0714,0.1429,0
2011,14,"Avery","county",17834,7.85,0.0714,0.1429,0
2012,17,"Avery","county",17764,9.57,0.2353,0.2941,0
2013,17,"Avery","county",17872,9.51,0.2941,0.2353,0
2014,21,"Avery","county",17895,11.74,0.2857,0.3333,0
2015,26,"Avery","county",17816,14.59,0.2308,0.3077,0
2016,27,"Avery","county",18098,14.92,0.2222,0.3704,0
2017,24,"Avery","county",18072,13.28,0.25,0.25,0
2000,66,"Beaufort","county",44958,14.68,0.2121,0.1667,0.0303
2001,63,"Beaufort","county",45340,13.9,0.254,0.1111,0.0317
2002,67,"Beaufort","county",45566,14.7,0.2239,0.1045,0.0149
2003,66,"Beaufort","county",45792,14.41,0.2273,0.1061,0
2004,61,"Beaufort","county",45816,13.31,0.2295,0.1148,0
2005,65,"Beaufort","county",46077,14.11,0.2769,0.1077,0.0308
2006,62,"Beaufort","county",46344,13.38,0.2742,0.129,0.0161
2007,62,"Beaufort","county",46070,13.46,0.2742,0.1452,0.0161
2008,61,"Beaufort","county",46600,13.09,0.2295,0.1639,0.0164
2009,65,"Beaufort","county",47401,13.71,0.2769,0.1538,0.0923
2010,72,"Beaufort","county",47929,15.02,0.3056,0.1389,0.0694
2011,63,"Beaufort","county",47854,13.17,0.2857,0.1429,0.0952
2012,57,"Beaufort","county",47901,11.9,0.2807,0.1579,0.0702
2013,55,"Beaufort","county",47777,11.51,0.2909,0.1636,0.0545
2014,52,"Beaufort","county",47717,10.9,0.3269,0.1923,0.0577
2015,48,"Beaufort","county",47829,10.04,0.2917,0.2292,0.0208
2016,46,"Beaufort","county",47610,9.66,0.2609,0.2391,0.0217
2017,44,"Beaufort","county",47547,9.25,0.2727,0.2045,0.0227
2000,12,"Bertie","county",19773,6.07,0.1667,0.0833,0.4167
2001,13,"Bertie","county",19857,6.55,0.0769,0.0769,0.3846
2002,14,"Bertie","county",19753,7.09,0.1429,0.0714,0.4286
2003,13,"Bertie","county",19649,6.62,0.2308,0.0769,0.4615
2004,13,"Bertie","county",19748,6.58,0.3077,0.0769,0.4615
2005,9,"Bertie","county",19700,4.57,0.2222,0,0.5556
2006,9,"Bertie","county",19352,4.65,0.3333,0,0.6667
2007,7,"Bertie","county",19971,3.51,0.2857,0,0.5714
2008,9,"Bertie","county",20072,4.48,0.2222,0,0.6667
2009,9,"Bertie","county",20104,4.48,0.3333,0,0.6667
2010,9,"Bertie","county",21313,4.22,0.3333,0,0.6667
2011,8,"Bertie","county",20890,3.83,0.375,0,0.75
2012,8,"Bertie","county",20665,3.87,0.5,0,0.625
2013,9,"Bertie","county",20595,4.37,0.6667,0,0.4444
2014,9,"Bertie","county",20617,4.37,0.4444,0,0.3333
2015,8,"Bertie","county",20533,3.9,0.5,0,0.375
2016,8,"Bertie","county",19847,4.03,0.375,0.125,0.25
2017,9,"Bertie","county",19881,4.53,0.2222,0.1111,0.1111
2000,22,"Bladen","county",32278,6.82,0.4545,0.0909,0.2727
2001,17,"Bladen","county",32416,5.24,0.3529,0.1765,0.2353
2002,20,"Bladen","county",32819,6.09,0.4,0.2,0.2
2003,26,"Bladen","county",33222,7.83,0.4615,0.1538,0.3462
2004,23,"Bladen","county",33119,6.94,0.4783,0.087,0.3043
2005,24,"Bladen","county",33204,7.23,0.375,0.1667,0.2083
2006,24,"Bladen","county",32872,7.3,0.2917,0.1667,0.2083
2007,20,"Bladen","county",32500,6.15,0.25,0.25,0.15
2008,18,"Bladen","county",32184,5.59,0.0556,0.2222,0.2222
2009,19,"Bladen","county",32046,5.93,0.2105,0.1579,0.3684
2010,21,"Bladen","county",35243,5.96,0.1905,0.1905,0.4286
2011,18,"Bladen","county",35148,5.12,0.1111,0.1667,0.3333
2012,26,"Bladen","county",35200,7.39,0.2692,0.1923,0.4615
2013,25,"Bladen","county",35209,7.1,0.32,0.24,0.4
2014,30,"Bladen","county",35113,8.54,0.3333,0.2,0.4
2015,27,"Bladen","county",35011,7.71,0.2963,0.2222,0.2963
2016,30,"Bladen","county",34667,8.65,0.2667,0.2667,0.2667
2017,25,"Bladen","county",34393,7.27,0.32,0.2,0.48
2000,74,"Brunswick","county",73143,10.12,0.1216,0.1216,0.027
2001,75,"Brunswick","county",76892,9.75,0.16,0.0933,0.0267
2002,75,"Brunswick","county",78822,9.52,0.1867,0.12,0.0267
2003,76,"Brunswick","county",80751,9.41,0.1974,0.1184,0.0263
2004,85,"Brunswick","county",83787,10.14,0.1765,0.1529,0.0353
2005,81,"Brunswick","county",87715,9.23,0.1852,0.1358,0.037
2006,93,"Brunswick","county",94964,9.79,0.2151,0.129,0.043
2007,99,"Brunswick","county",99440,9.96,0.2121,0.101,0.0606
2008,108,"Brunswick","county",102877,10.5,0.213,0.0833,0.0833
2009,109,"Brunswick","county",107135,10.17,0.2018,0.0917,0.0734
2010,113,"Brunswick","county",108176,10.45,0.1858,0.115,0.0619
2011,121,"Brunswick","county",110140,10.99,0.1901,0.1074,0.0744
2012,112,"Brunswick","county",112597,9.95,0.2054,0.125,0.0625
2013,117,"Brunswick","county",115716,10.11,0.2222,0.1453,0.0684
2014,126,"Brunswick","county",117834,10.69,0.1905,0.1111,0.0556
2015,139,"Brunswick","county",123535,11.25,0.2014,0.1511,0.0504
2016,136,"Brunswick","county",127750,10.65,0.2206,0.1691,0.0515
2017,145,"Brunswick","county",131726,11.01,0.2345,0.1862,0.0552
2000,658,"Buncombe","county",206330,31.89,0.2082,0.0729,0.0228
2001,684,"Buncombe","county",208593,32.79,0.2398,0.0599,0.0249
2002,689,"Buncombe","county",212044,32.49,0.2395,0.0566,0.0261
2003,713,"Buncombe","county",215496,33.09,0.244,0.0575,0.0323
2004,718,"Buncombe","county",215468,33.32,0.2382,0.0557,0.0306
2005,760,"Buncombe","county",217423,34.95,0.2421,0.0645,0.0316
2006,785,"Buncombe","county",221327,35.47,0.2382,0.0624,0.028
2007,808,"Buncombe","county",225609,35.81,0.2574,0.073,0.0272
2008,813,"Buncombe","county",227914,35.67,0.2632,0.075,0.0234
2009,838,"Buncombe","county",230450,36.36,0.2792,0.0752,0.0263
2010,841,"Buncombe","county",239179,35.16,0.283,0.088,0.025
2011,863,"Buncombe","county",243855,35.39,0.2908,0.0927,0.0243
2012,889,"Buncombe","county",245535,36.21,0.2992,0.0945,0.0236
2013,948,"Buncombe","county",248872,38.09,0.3143,0.0992,0.0327
2014,996,"Buncombe","county",251275,39.64,0.3213,0.1034,0.0281
2015,1027,"Buncombe","county",254836,40.3,0.3291,0.1149,0.0331
2016,1100,"Buncombe","county",258406,42.57,0.3364,0.1164,0.0364
2017,1125,"Buncombe","county",261532,43.02,0.3404,0.1147,0.0373
2000,160,"Burke","county",89148,17.95,0.1438,0.1375,0.025
2001,162,"Burke","county",89028,18.2,0.142,0.1296,0.0247
2002,166,"Burke","county",90485,18.35,0.1747,0.1084,0.0301
2003,171,"Burke","county",91943,18.6,0.1813,0.1228,0.0351
2004,170,"Burke","county",89943,18.9,0.1765,0.1176,0.0235
2005,171,"Burke","county",89077,19.2,0.1813,0.1111,0.0292
2006,185,"Burke","county",88664,20.87,0.1514,0.1135,0.0324
2007,181,"Burke","county",88439,20.47,0.1547,0.1326,0.0442
2008,190,"Burke","county",89274,21.28,0.1737,0.1316,0.0632
2009,186,"Burke","county",89669,20.74,0.1667,0.1129,0.0591
2010,189,"Burke","county",91008,20.77,0.1746,0.1217,0.0529
2011,192,"Burke","county",90722,21.16,0.1667,0.1302,0.0625
2012,186,"Burke","county",89977,20.67,0.1935,0.1344,0.043
2013,205,"Burke","county",89519,22.9,0.2098,0.1512,0.0537
2014,204,"Burke","county",89197,22.87,0.1961,0.1667,0.0637
2015,213,"Burke","county",89114,23.9,0.1972,0.1737,0.0657
2016,201,"Burke","county",89814,22.38,0.2139,0.1741,0.0597
2017,216,"Burke","county",90246,23.93,0.2361,0.1852,0.0463
2000,274,"Cabarrus","county",131063,20.91,0.2409,0.0474,0.0584
2001,280,"Cabarrus","county",136316,20.54,0.25,0.0321,0.0607
2002,300,"Cabarrus","county",139811,21.46,0.25,0.0333,0.0633
2003,304,"Cabarrus","county",143306,21.21,0.2434,0.0296,0.0658
2004,309,"Cabarrus","county",146852,21.04,0.2492,0.0194,0.0712
2005,330,"Cabarrus","county",150249,21.96,0.2818,0.0242,0.0788
2006,366,"Cabarrus","county",157176,23.29,0.2787,0.0246,0.0956
2007,381,"Cabarrus","county",164384,23.18,0.2835,0.0236,0.0945
2008,411,"Cabarrus","county",170448,24.11,0.3041,0.0292,0.1022
2009,426,"Cabarrus","county",174294,24.44,0.3216,0.0376,0.0962
2010,440,"Cabarrus","county",179025,24.58,0.325,0.0364,0.0886
